open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1575072000000,7737.23,7800,7444.18,7542.93,141966.392,1575158399999,1081497211.80452,362290,68012.803,518148680.57396,0
1575158400000,7541.08,7541.08,7222.29,7387.38,196291.252,1575244799999,1442570909.29430,500459,96077.054,706184674.41115,0
1575244800000,7388,7416.75,7137.74,7291,143966.953,1575331199999,1049763091.44412,370901,71412.232,520828889.39926,0
1575331200000,7291.74,7404.42,7231.35,7290.86,84699.470,1575417599999,618921233.00419,233130,41922.424,306376914.66429,0
1575417600000,7290.85,7800,7070,7191,274879.481,1575503999999,2010415073.79885,593445,137506.045,1006126277.04231,0
1575504000000,7189.42,7480,7142.54,7384.99,176315.108,1575590399999,1291358111.12701,446089,88995.656,651916487.69038,0
1575590400000,7384.66,7602.44,7295.73,7522.10,136218.707,1575676799999,1009056959.83042,367352,68368.604,506601998.63610,0
1575676800000,7521.13,7616.91,7467.44,7487.20,83208.782,1575763199999,625725539.42670,223129,41704.625,313651040.56630,0
1575763200000,7487.19,7559.39,7376,7508.20,84380.338,1575849599999,631265923.89387,218684,41942.110,313824486.14444,0
1575849600000,7507.87,7676.48,7269.05,7337.49,136440.176,1575935999999,1017059787.60653,349478,66499.449,495926980.64656,0
1575936000000,7338.20,7403.71,7152,7220.98,126662.794,1576022399999,923135831.85705,294099,61838.397,450779830.92809,0
1576022400000,7220.92,7267,7117.74,7205.77,97320.727,1576108799999,701421427.95292,224496,48330.933,348364573.67675,0
1576108800000,7206.78,7295.12,7080,7194.77,140594.105,1576195199999,1009269923.91096,304604,70699.718,507632396.13088,0
1576195200000,7194.08,7298,7190,7252.98,80178.833,1576281599999,580009722.04465,187255,39706.504,287254508.29012,0
1576281600000,7252.98,7266.14,7007.86,7061.34,97837.512,1576367999999,697707778.24799,236813,46055.740,328458564.51690,0
1576368000000,7060.79,7196,7004.77,7115,87933.233,1576454399999,623906287.16733,180924,44537.104,316054323.43030,0
1576454400000,7115.45,7147.34,6831,6887.54,117597.890,1576540799999,823110567.19727,249488,55589.143,389248743.37890,0
1576540800000,6887.48,6940,6550,6618.96,166411.289,1576627199999,1119916913.96774,348899,80946.311,544935938.70641,0
1576627200000,6618.96,7479.99,6427,7277.44,328489.593,1576713599999,2241615061.57224,675369,170098.066,1162033511.32103,0
1576713600000,7278.11,7367.87,7042.82,7146.29,158849.566,1576799999999,1136320673.87998,323697,77011.059,550959774.92734,0
1576800000000,7146.29,7217.08,7078.17,7184.39,86449.566,1576886399999,618061855.49459,179313,43256.648,309304170.51910,0
1576886400000,7184.39,7185,7108,7131.01,44340.865,1576972799999,316691491.64633,99594,21922.424,156577993.45327,0
1576972800000,7131.02,7517.61,7122,7502.92,129797.395,1577059199999,948741532.63742,278563,67246.221,491804710.46426,0
1577059200000,7502.92,7691,7262,7314.01,215298.787,1577145599999,1615203184.89148,431464,104347.760,782959154.71850,0
1577145600000,7314.03,7434.55,7156.08,7252.04,149081.004,1577231999999,1087303262.61196,279760,73067.038,532985114.49884,0
1577232000000,7251.57,7267.63,7123.19,7201.45,96965.072,1577318399999,699094669.90656,174360,47370.959,341563035.21314,0
1577318400000,7201.67,7438.80,7151,7197.46,133973.533,1577404799999,973097296.81580,246938,66703.488,484623657.65528,0
1577404800000,7197.84,7270,7078.89,7248.40,112284.610,1577491199999,808407623.10806,211189,55474.655,399477860.93646,0
1577491200000,7248.40,7359.15,7235,7311.48,91292.882,1577577599999,667101749.38177,156362,44857.620,327797632.97581,0
1577577600000,7310.29,7527,7283.60,7383.67,102543.974,1577663999999,756943061.50809,186571,52979.273,391211316.81490,0
1577664000000,7383.68,7400,7215.58,7240.43,94375.362,1577750399999,689435672.16509,174925,44946.508,328331116.74958,0
1577750400000,7240.80,7319,7141,7189,89203.437,1577836799999,643792056.63886,157014,42880.850,309552260.21335,0
